story_id,person,aliases,predicted_type,pro_cnt,ant_cnt,oth_cnt,pro_conf_total,ant_conf_total,mention_total
1,Tokoh-1,"ibu, ibu ahmad, orang tua",Protagonis,5,1,1,3.297531847133758,1.637468152866242,0.6086956521739131
1,Tokoh-2,"ayah, orang tua, pak ahmad",Protagonis,6,6,0,5.241913908485249,5.33808609151475,2.434782608695652
1,Tokoh-3,puteri sulung,Lainnya,0,0,1,0.115,0.02,0.0
1,Tokoh-4,puteri bungsu,Lainnya,0,0,1,0.115,0.02,0.0
1,Tokoh-5,raja,Protagonis,2,1,2,2.135,0.9800000000000001,0.2898550724637681
1,Tokoh-6,tetangga,Protagonis,1,0,0,0.495,0.025,0.0
1,Tokoh-7,ahmad,Antagonis,13,10,0,11.295063694267515,10.944936305732483,7.333333333333333
1,Tokoh-8,muhammad,Protagonis,13,6,0,9.505063694267516,9.039936305732484,4.956521739130435
1,Tokoh-10,"burung, burung merbuk, pawang burung merbuk, pawang merbuk, wak, wak pawang, wak pawang merbuk",Protagonis,36,0,0,23.33,7.7700000000000005,36.0
1,Tokoh-11,lelaki tua,Lainnya,0,0,2,0.13,0.355,0.028985507246376812
1,Tokoh-12,hai,Lainnya,0,0,1,0.015,0.11,0.0
1,Tokoh-13,firman,Lainnya,0,0,1,0.29,0.03,0.0
1,Tokoh-14,gajah putih kerajaan,Lainnya,0,0,1,0.195,0.03,0.0
